"","timeseries","SSStime"
"2391","20160723","34.0391900539398"
"2392","20160724","34.0321469306946"
"2393","20160725","34.0227587223053"
"2394","20160726","34.0114874839783"
"2395","20160727","33.9986953735352"
"2396","20160728","33.9870645999908"
"2397","20160729","33.9776971340179"
"2398","20160730","33.9714677333832"
"2399","20160731","33.9696755409241"
"2400","20160801","33.9725801944733"
"2401","20160802","33.9804766178131"
"2402","20160803","33.9923090934753"
"2403","20160804","34.0078735351562"
"2404","20160805","34.0255439281464"
"2405","20160806","34.0429313182831"
"2406","20160807","34.058454990387"
"2407","20160808","34.0709409713745"
"2408","20160809","34.0779535770416"
"2409","20160810","34.0794603824615"
"2410","20160811","34.0756371021271"
"2411","20160812","34.0676198005676"
"2412","20160813","34.0568695068359"
"2413","20160814","34.0460231304169"
"2414","20160815","34.0367031097412"
"2415","20160816","34.0306231975555"
"2416","20160817","34.028247833252"
"2417","20160818","34.0291812419891"
"2418","20160819","34.0322086811066"
"2419","20160820","34.0354917049408"
"2420","20160821","34.0371522903442"
"2421","20160822","34.037318944931"
"2422","20160823","34.0371036529541"
"2423","20160824","34.0353736877441"
"2424","20160825","34.0331420898438"
"2425","20160826","34.032918214798"
"2426","20160827","34.0350201129913"
"2427","20160828","34.0380055904388"
"2428","20160829","34.0434169769287"
"2429","20160830","34.0487067699432"
"2430","20160831","34.0528070926666"
"2431","20160901","34.0529763698578"
"2432","20160902","34.0493624210358"
"2433","20160903","34.0410766601562"
"2434","20160904","34.028972864151"
"2435","20160905","34.0148561000824"
"2436","20160906","33.9966220855713"
"2437","20160907","33.9768517017365"
"2438","20160908","33.9550862312317"
"2439","20160909","33.9335000514984"
"2440","20160910","33.9123713970184"
"2441","20160911","33.8934345245361"
"2442","20160912","33.8781180381775"
"2443","20160913","33.8669114112854"
"2444","20160914","33.8615081310272"
"2445","20160915","33.8619205951691"
"2446","20160916","33.8689444065094"
"2447","20160917","33.8812289237976"
"2448","20160918","33.8978807926178"
"2449","20160919","33.9134886264801"
"2450","20160920","33.9242975711823"
"2451","20160921","33.9310207366943"
"2452","20160922","33.9320690631866"
"2453","20160923","33.9252083301544"
"2454","20160924","33.9110403060913"
"2455","20160925","33.8893256187439"
"2456","20160926","33.8662314414978"
"2457","20160927","33.8451330661774"
"2458","20160928","33.8260238170624"
"2459","20160929","33.8122434616089"
"2460","20160930","33.8050434589386"
"2461","20161001","33.811042547226"
"2462","20161002","33.8194940090179"
"2463","20161003","33.8357067108154"
"2464","20161004","33.8537232875824"
"2465","20161005","33.8731036186218"
"2466","20161006","33.8911669254303"
"2467","20161007","33.9070794582367"
"2468","20161008","33.9203493595123"
"2469","20161009","33.9259612560272"
"2470","20161010","33.9289925098419"
"2471","20161011","33.9259316921234"
"2472","20161012","33.9170067310333"
"2473","20161013","33.9090559482574"
"2474","20161014","33.9017932415009"
"2475","20161015","33.8957998752594"
"2476","20161016","33.8963363170624"
"2477","20161017","33.8979208469391"
"2478","20161018","33.9070081710815"
"2479","20161019","33.9200992584229"
"2480","20161020","33.9325556755066"
"2481","20161021","33.9473388195038"
"2482","20161022","33.9574568271637"
"2483","20161023","33.9609243869781"
"2484","20161024","33.9616270065308"
"2485","20161025","33.9549083709717"
"2486","20161026","33.9437243938446"
"2487","20161027","33.9283685684204"
"2488","20161028","33.9057912826538"
"2489","20161029","33.8856136798859"
"2490","20161030","33.863653421402"
"2491","20161031","33.8421366214752"
"2492","20161101","33.8208830356598"
"2493","20161102","33.8023991584778"
"2494","20161103","33.7865517139435"
"2495","20161104","33.7772109508514"
"2496","20161105","33.7727782726288"
"2497","20161106","33.7796239852905"
"2498","20161107","33.7902603149414"
"2499","20161108","33.8064391613007"
"2500","20161109","33.8279066085815"
"2501","20161110","33.8477377891541"
"2502","20161111","33.867335319519"
"2503","20161112","33.8803162574768"
"2504","20161113","33.8962180614471"
"2505","20161114","33.9130349159241"
"2506","20161115","33.9307806491852"
"2507","20161116","33.9501967430115"
"2508","20161117","33.973260641098"
"2509","20161118","33.9944157600403"
"2510","20161119","34.0148446559906"
"2511","20161120","34.0276911258698"
"2512","20161121","34.0345160961151"
"2513","20161122","34.0345287322998"
"2514","20161123","34.0219256877899"
"2515","20161124","34.0018472671509"
"2516","20161125","33.9744517803192"
"2517","20161126","33.9437253475189"
"2518","20161127","33.9192790985107"
"2519","20161128","33.8985800743103"
"2520","20161129","33.8866009712219"
"2521","20161130","33.8835465908051"
"2522","20161201","33.8941481113434"
"2523","20161202","33.9192137718201"
"2524","20161203","33.9479470252991"
"2525","20161204","33.9848523139954"
"2526","20161205","34.0216007232666"
"2527","20161206","34.0584065914154"
"2528","20161207","34.0895302295685"
"2529","20161208","34.1142506599426"
"2530","20161209","34.1310970783234"
"2531","20161210","34.1425368785858"
"2532","20161211","34.144983291626"
"2533","20161212","34.1416697502136"
"2534","20161213","34.1438255310059"
"2535","20161214","34.1473100185394"
"2536","20161215","34.153847694397"
"2537","20161216","34.1619155406952"
"2538","20161217","34.1721682548523"
"2539","20161218","34.1843633651733"
"2540","20161219","34.1966450214386"
"2541","20161220","34.2104461193085"
"2542","20161221","34.2198181152344"
"2543","20161222","34.2283360958099"
"2544","20161223","34.2322578430176"
"2545","20161224","34.232381105423"
"2546","20161225","34.2287192344666"
"2547","20161226","34.2200570106506"
"2548","20161227","34.2080805301666"
"2549","20161228","34.1940910816193"
"2550","20161229","34.1781802177429"
"2551","20161230","34.1633656024933"
"2552","20161231","34.1525523662567"
"2553","20170101","34.1444697380066"
"2554","20170102","34.1384539604187"
"2555","20170103","34.1353416442871"
"2556","20170104","34.1341962814331"
"2557","20170105","34.1354801654816"
"2558","20170106","34.1367721557617"
"2559","20170107","34.1367712020874"
"2560","20170108","34.1363258361816"
"2561","20170109","34.1359467506409"
"2562","20170110","34.1358602046967"
"2563","20170111","34.1366138458252"
"2564","20170112","34.1387767791748"
"2565","20170113","34.1415076255798"
"2566","20170114","34.1456437110901"
"2567","20170115","34.1500234603882"
"2568","20170116","34.1549878120422"
"2569","20170117","34.1593050956726"
"2570","20170118","34.1645860671997"
"2571","20170119","34.17054438591"
"2572","20170120","34.1772217750549"
"2573","20170121","34.1866114139557"
"2574","20170122","34.1991469860077"
"2575","20170123","34.2154812812805"
"2576","20170124","34.2355253696442"
"2577","20170125","34.2580692768097"
"2578","20170126","34.2799868583679"
"2579","20170127","34.3009309768677"
"2580","20170128","34.3188185691833"
"2581","20170129","34.3324246406555"
"2582","20170130","34.3415977954865"
"2583","20170131","34.3449900150299"
"2584","20170201","34.3412086963654"
"2585","20170202","34.3299922943115"
"2586","20170203","34.3137979507446"
"2587","20170204","34.2930843830109"
"2588","20170205","34.2691035270691"
"2589","20170206","34.2467560768127"
"2590","20170207","34.2250547409058"
"2591","20170208","34.2078185081482"
"2592","20170209","34.1990911960602"
"2593","20170210","34.1985850334167"
"2594","20170211","34.2051084041595"
"2595","20170212","34.218918800354"
"2596","20170213","34.2358031272888"
"2597","20170214","34.25395154953"
"2598","20170215","34.2712199687958"
"2599","20170216","34.2865417003632"
"2600","20170217","34.2993967533112"
"2601","20170218","34.3095729351044"
"2602","20170219","34.3189070224762"
"2603","20170220","34.3242268562317"
