ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AT017,1064,501,27,20125,0.008,-0.26,0.108,0.61,19.7,-1.63,1.18,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,23.5512,263.9436232,autumn
AT017,1064,502,5,19335,0.057,-0.286,0.115,0.59,26.1,-1.57,0.41,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,23.2908,263.9436232,autumn
AT017,1064,503,27,14989,0.063,-0.184,0.136,0.623,15.7,-1.78,0.39,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,24.2022,263.9436232,autumn
AT017,1064,503,39,19034,0.026,-0.195,0.099,0.602,22.3,-1.75,0.4,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,24.072,263.9436232,autumn
AT017,1064,506,9,9007,0.13,-0.251,0.113,0.601,22.4,-1.43,0.42,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,22.6832,263.9436232,autumn
AT017,1064,507,11,13299,0.163,-0.132,0.115,0.618,17.2,-1.89,0.32,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,24.6796,263.9436232,autumn
AT017,1064,507,14,10947,0.181,-0.183,0.117,0.585,28.2,-1.4,0.46,AT,17,2,autumn,0.1,628.9436232,9.752750903,4,22.553,263.9436232,autumn
AT019,1070,501,30,20818,-0.007,-0.252,0.074,0.612,19,-2.1,0.68,AT,19,2,autumn,0.1,631.7838105,9.709510785,4,25.591,266.7838105,autumn
AT019,1070,502,24,22731,-0.017,-0.284,0.121,0.584,28.3,-1.5,0.21,AT,19,2,autumn,0.1,631.7838105,9.709510785,4,22.987,266.7838105,autumn
AT019,1070,502,35,21961,-0.023,-0.249,0.096,0.569,33.7,-1.65,0.2,AT,19,2,autumn,0.1,631.7838105,9.709510785,4,23.638,266.7838105,autumn
AT019,1070,503,32,23520,-0.009,-0.231,0.115,0.581,29.5,-1.39,0.32,AT,19,2,autumn,0.1,631.7838105,9.709510785,4,22.5096,266.7838105,autumn
AT019,1070,506,15,15607,0.085,-0.242,0.106,0.61,19.5,-1.28,0.28,AT,19,2,autumn,0.1,631.7838105,9.709510785,4,22.0322,266.7838105,autumn
AT019,1070,506,18,22003,0.039,-0.204,0.101,0.65,7.6,-1.69,0.2,AT,19,2,autumn,0.1,631.7838105,9.709510785,4,23.8116,266.7838105,autumn
AT021,1076,502,6,20656,0.058,-0.318,0.107,0.559,37.7,-1.41,0.15,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,22.5964,268.6115029,autumn
AT021,1076,503,26,20483,0.028,-0.237,0.1,0.569,33.9,-1.46,0.2,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,22.8134,268.6115029,autumn
AT021,1076,503,30,24528,-0.031,-0.215,0.089,0.575,31.4,-1.51,0.18,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,23.0304,268.6115029,autumn
